id,code,name,description
detraction_1_5,1.5,Detración 1.5,"Bienes exonerados del IGV, Oro y demás minerales metálicos exonerados del IGV"
detraction_4,4,Detración 4,"Recursos hidrobiológicos, Maíz amarillo duro, Carnes y despojos comestibles, Harina, polvo y pellets de pescado, crustáceos, moluscos y demás invertebrados acuáticos, Leche, Madera, Contratos de construcción"
detraction_10,10,Detración 10,"Azúcar y melaza de caña, Alcohol etílico, Caña de azúcar, Arena y piedra, Bienes gravados con el IGV por renuncia a la exoneración, Aceite de pescado, Oro gravado con el IGV, Paprika y otros frutos de los géneros capsicum o pimienta, Minerales metálicos no auríferos, Minerales no metálicos, Arrendamiento de bienes, Movimiento de carga, Comisión mercantil, Fabricación de bienes por encargo, Servicio de transporte de personas, "
detraction_12,12,Detración 12,"Intermediación laboral y tercerización, Mantenimiento y reparación de bienes muebles, Otros servicios empresariales, Demás servicios gravados con el IGV"
detraction_15,15,Detración 15,Plomo
