id,code,name,description
catalog51_0101,0101,Venta interna,"Factura, Boletas"
catalog51_0112,0112,Venta Interna - Sustenta Gastos Deducibles Persona Natural,Factura 
catalog51_0113,0113,Venta Interna-NRUS,Boleta
catalog51_0200,0200,Exportación de Bienes,"Factura, Boletas"
catalog51_0201,0201,Exportación de Servicios – Prestación servicios realizados íntegramente en el país,"Factura, Boletas"
catalog51_0202,0202,Exportación de Servicios – Prestación de servicios de hospedaje No Domiciliado,"Factura, Boletas"
catalog51_0203,0203,Exportación de Servicios – Transporte de navieras,"Factura, Boletas"
catalog51_0204,0204,Exportación de Servicios – Servicios  a naves y aeronaves de bandera extranjera,"Factura, Boletas"
catalog51_0205,0205,Exportación de Servicios  - Servicios que conformen un Paquete Turístico,"Factura, Boletas"
catalog51_0206,0206,Exportación de Servicios – Servicios complementarios al transporte de carga,"Factura, Boletas"
catalog51_0207,0207,Exportación de Servicios – Suministro de energía eléctrica a favor de sujetos domiciliados en ZED,"Factura, Boletas"
catalog51_0208,0208,Exportación de Servicios – Prestación servicios realizados parcialmente en el extranjero,"Factura, Boletas"
catalog51_0301,0301,Operaciones con Carta de porte aéreo (emitidas en el ámbito nacional),"Factura, Boletas"
catalog51_0302,0302,Operaciones de Transporte ferroviario de pasajeros,"Factura, Boletas"
catalog51_0303,0303,Operaciones de Pago de regalía petrolera,"Factura, Boletas"
catalog51_0401,0401,Ventas no domiciliados que no califican como exportación,"Factura, Boletas"
catalog51_1001,1001,Operación Sujeta a Detracción,"Factura, Boletas"
catalog51_1002,1002,Operación Sujeta a Detracción- Recursos Hidrobiológicos,"Factura, Boletas"
catalog51_1003,1003,Operación Sujeta a Detracción- Servicios de Transporte Pasajeros,"Factura, Boletas"
catalog51_1004,1004,Operación Sujeta a Detracción- Servicios de Transporte Carga,"Factura, Boletas"
catalog51_2001,2001,Operación Sujeta a Percepción,"Factura, Boletas"
