id,code,name,description,country_name,number_code
catalog02_MDL,MDL,Moldovan Leu,,MOLDOVA (THE REPUBLIC OF),498
catalog02_EUR,EUR,Euro,,MONACO,978
catalog02_MNT,MNT,Tugrik,,MONGOLIA,496
catalog02_EUR,EUR,Euro,,MONTENEGRO,978
catalog02_XCD,XCD,East Caribbean Dollar,,MONTSERRAT,951
catalog02_MAD,MAD,Moroccan Dirham,,MOROCCO,504
catalog02_MZN,MZN,Mozambique Metical,,MOZAMBIQUE,943
catalog02_MMK,MMK,Kyat,,MYANMAR,104
catalog02_NAD,NAD,Namibia Dollar,,NAMIBIA,516
catalog02_ZAR,ZAR,Rand,,NAMIBIA,710
catalog02_AUD,AUD,Australian Dollar,,NAURU,036
catalog02_NPR,NPR,Nepalese Rupee,,NEPAL,524
catalog02_EUR,EUR,Euro,,NETHERLANDS (THE),978
catalog02_XPF,XPF,CFP Franc,,NEW CALEDONIA,953
catalog02_NZD,NZD,New Zealand Dollar,,NEW ZEALAND,554
catalog02_NIO,NIO,Cordoba Oro,,NICARAGUA,558
catalog02_XOF,XOF,CFA Franc BCEAO,,NIGER (THE),952
catalog02_NGN,NGN,Naira,,NIGERIA,566
catalog02_NZD,NZD,New Zealand Dollar,,NIUE,554
catalog02_AUD,AUD,Australian Dollar,,NORFOLK ISLAND,036
catalog02_USD,USD,US Dollar,,NORTHERN MARIANA ISLANDS (THE),840
catalog02_NOK,NOK,Norwegian Krone,,NORWAY,578
catalog02_OMR,OMR,Rial Omani,,OMAN,512
catalog02_PKR,PKR,Pakistan Rupee,,PAKISTAN,586
catalog02_USD,USD,US Dollar,,PALAU,840
catalog02_PAB,PAB,Balboa,,PANAMA,590
catalog02_USD,USD,US Dollar,,PANAMA,840
catalog02_PGK,PGK,Kina,,PAPUA NEW GUINEA,598
catalog02_PYG,PYG,Guarani,,PARAGUAY,600
catalog02_PEN,PEN,Sol,,PERU,604
catalog02_PHP,PHP,Philippine Peso,,PHILIPPINES (THE),608
catalog02_NZD,NZD,New Zealand Dollar,,PITCAIRN,554
catalog02_PLN,PLN,Zloty,,POLAND,985
catalog02_EUR,EUR,Euro,,PORTUGAL,978
catalog02_USD,USD,US Dollar,,PUERTO RICO,840
catalog02_QAR,QAR,Qatari Rial,,QATAR,634
catalog02_EUR,EUR,Euro,,RÉUNION,978
catalog02_RON,RON,Romanian Leu,,ROMANIA,946
catalog02_RUB,RUB,Russian Ruble,,RUSSIAN FEDERATION (THE),643
catalog02_RWF,RWF,Rwanda Franc,,RWANDA,646
catalog02_EUR,EUR,Euro,,SAINT BARTHÉLEMY,978
catalog02_SHP,SHP,Saint Helena Pound,,"SAINT HELENA, ASCENSION AND TRISTAN DA CUNHA",654
catalog02_XCD,XCD,East Caribbean Dollar,,SAINT KITTS AND NEVIS,951
catalog02_XCD,XCD,East Caribbean Dollar,,SAINT LUCIA,951
catalog02_EUR,EUR,Euro,,SAINT MARTIN (FRENCH PART),978
catalog02_EUR,EUR,Euro,,SAINT PIERRE AND MIQUELON,978
catalog02_XCD,XCD,East Caribbean Dollar,,SAINT VINCENT AND THE GRENADINES,951
catalog02_WST,WST,Tala,,SAMOA,882
catalog02_EUR,EUR,Euro,,SAN MARINO,978
catalog02_STN,STN,Dobra,,SAO TOME AND PRINCIPE,930
catalog02_SAR,SAR,Saudi Riyal,,SAUDI ARABIA,682
catalog02_XOF,XOF,CFA Franc BCEAO,,SENEGAL,952
catalog02_RSD,RSD,Serbian Dinar,,SERBIA,941
catalog02_SCR,SCR,Seychelles Rupee,,SEYCHELLES,690
catalog02_SLL,SLL,Leone,,SIERRA LEONE,694
catalog02_SGD,SGD,Singapore Dollar,,SINGAPORE,702
catalog02_ANG,ANG,Netherlands Antillean Guilder,,SINT MAARTEN (DUTCH PART),532
catalog02_XSU,XSU,Sucre,,"SISTEMA UNITARIO DE COMPENSACION REGIONAL DE PAGOS ""SUCRE""",994
catalog02_EUR,EUR,Euro,,SLOVAKIA,978
catalog02_EUR,EUR,Euro,,SLOVENIA,978
catalog02_SBD,SBD,Solomon Islands Dollar,,SOLOMON ISLANDS,090
catalog02_SOS,SOS,Somali Shilling,,SOMALIA,706
catalog02_ZAR,ZAR,Rand,,SOUTH AFRICA,710
catalog02_SSP,SSP,South Sudanese Pound,,SOUTH SUDAN,728
catalog02_EUR,EUR,Euro,,SPAIN,978
catalog02_LKR,LKR,Sri Lanka Rupee,,SRI LANKA,144
catalog02_SDG,SDG,Sudanese Pound,,SUDAN (THE),938
catalog02_SRD,SRD,Surinam Dollar,,SURINAME,968
catalog02_NOK,NOK,Norwegian Krone,,SVALBARD AND JAN MAYEN,578
catalog02_SZL,SZL,Lilangeni,,ESWATINI,748
catalog02_SEK,SEK,Swedish Krona,,SWEDEN,752
catalog02_CHF,CHF,Swiss Franc,,SWITZERLAND,756
catalog02_CHE,CHE,WIR Euro,,SWITZERLAND,947
catalog02_CHW,CHW,WIR Franc,,SWITZERLAND,948
catalog02_SYP,SYP,Syrian Pound,,SYRIAN ARAB REPUBLIC,760
catalog02_TWD,TWD,New Taiwan Dollar,,TAIWAN (PROVINCE OF CHINA),901
catalog02_TJS,TJS,Somoni,,TAJIKISTAN,972
catalog02_TZS,TZS,Tanzanian Shilling,,"TANZANIA, UNITED REPUBLIC OF",834
catalog02_THB,THB,Baht,,THAILAND,764
catalog02_USD,USD,US Dollar,,TIMOR-LESTE,840
catalog02_XOF,XOF,CFA Franc BCEAO,,TOGO,952
catalog02_NZD,NZD,New Zealand Dollar,,TOKELAU,554
catalog02_TOP,TOP,Pa’anga,,TONGA,776
catalog02_TTD,TTD,Trinidad and Tobago Dollar,,TRINIDAD AND TOBAGO,780
catalog02_TND,TND,Tunisian Dinar,,TUNISIA,788
catalog02_TRY,TRY,Turkish Lira,,TURKEY,949
catalog02_TMT,TMT,Turkmenistan New Manat,,TURKMENISTAN,934
catalog02_USD,USD,US Dollar,,TURKS AND CAICOS ISLANDS (THE),840
catalog02_AUD,AUD,Australian Dollar,,TUVALU,036
catalog02_UGX,UGX,Uganda Shilling,,UGANDA,800
catalog02_UAH,UAH,Hryvnia,,UKRAINE,980
catalog02_AED,AED,UAE Dirham,,UNITED ARAB EMIRATES (THE),784
catalog02_GBP,GBP,Pound Sterling,,UNITED KINGDOM OF GREAT BRITAIN AND NORTHERN IRELAND (THE),826
catalog02_USD,USD,US Dollar,,UNITED STATES MINOR OUTLYING ISLANDS (THE),840
catalog02_USD,USD,US Dollar,,UNITED STATES OF AMERICA (THE),840
catalog02_USN,USN,US Dollar (Next day),,UNITED STATES OF AMERICA (THE),997
catalog02_UYU,UYU,Peso Uruguayo,,URUGUAY,858
catalog02_UYI,UYI,Uruguay Peso en Unidades Indexadas (UI),,URUGUAY,940
catalog02_UYW,UYW,Unidad Previsional,,URUGUAY,927
catalog02_UZS,UZS,Uzbekistan Sum,,UZBEKISTAN,860
catalog02_VUV,VUV,Vatu,,VANUATU,548
catalog02_VES,VES,Bolívar Soberano,,VENEZUELA (BOLIVARIAN REPUBLIC OF),928
catalog02_VND,VND,Dong,,VIET NAM,704
catalog02_USD,USD,US Dollar,,VIRGIN ISLANDS (BRITISH),840
catalog02_USD,USD,US Dollar,,VIRGIN ISLANDS (U.S.),840
catalog02_XPF,XPF,CFP Franc,,WALLIS AND FUTUNA,953
catalog02_MAD,MAD,Moroccan Dirham,,WESTERN SAHARA,504
catalog02_YER,YER,Yemeni Rial,,YEMEN,886
catalog02_ZMW,ZMW,Zambian Kwacha,,ZAMBIA,967
catalog02_ZWL,ZWL,Zimbabwe Dollar,,ZIMBABWE,932
catalog02_XBA,XBA,Bond Markets Unit European Composite Unit (EURCO),,ZZ01_Bond Markets Unit European_EURCO,955
catalog02_XBB,XBB,Bond Markets Unit European Monetary Unit (E.M.U.-6),,ZZ02_Bond Markets Unit European_EMU-6,956
catalog02_XBC,XBC,Bond Markets Unit European Unit of Account 9 (E.U.A.-9),,ZZ03_Bond Markets Unit European_EUA-9,957
catalog02_XBD,XBD,Bond Markets Unit European Unit of Account 17 (E.U.A.-17),,ZZ04_Bond Markets Unit European_EUA-17,958
catalog02_XTS,XTS,Codes specifically reserved for testing purposes,,ZZ06_Testing_Code,963
catalog02_XXX,XXX,The codes assigned for transactions where no currency is involved,,ZZ07_No_Currency,999
catalog02_XAU,XAU,Gold,,ZZ08_Gold,959
catalog02_XPD,XPD,Palladium,,ZZ09_Palladium,964
catalog02_XPT,XPT,Platinum,,ZZ10_Platinum,962
catalog02_XAG,XAG,Silver,,ZZ11_Silver,961
