id,code,name,description
tabla3_01,01,CENTRAL RESERVA DEL PERU ,
tabla3_02,02,DE CREDITO DEL PERU      ,
tabla3_03,03,INTERNACIONAL DEL PERU   ,
tabla3_05,05,LATINO                   ,
tabla3_07,07,CITIBANK DEL PERU S.A.,
tabla3_08,08,STANDARD CHARTERED,
tabla3_09,09,SCOTIABANK PERU,
tabla3_11,11,CONTINENTAL              ,
tabla3_12,12,DE LIMA                  ,
tabla3_16,16,MERCANTIL                ,
tabla3_18,18,NACION                   ,
tabla3_22,22,SANTANDER CENTRAL HISPANO,
tabla3_23,23,DE COMERCIO              ,
tabla3_25,25,REPUBLICA                ,
tabla3_26,26,NBK BANK                 ,
tabla3_29,29,BANCOSUR,
tabla3_35,35,FINANCIERO DEL PERU      ,
tabla3_37,37,DEL PROGRESO             ,
tabla3_38,38,INTERAMERICANO FINANZAS  ,
tabla3_39,39,BANEX                    ,
tabla3_40,40,NUEVO MUNDO              ,
tabla3_41,41,SUDAMERICANO             ,
tabla3_42,42,DEL LIBERTADOR,
tabla3_43,43,DEL TRABAJO,
tabla3_44,44,SOLVENTA                 ,
tabla3_45,45,SERBANCO SA.             ,
tabla3_46,46,BANK OF BOSTON           ,
tabla3_47,47,ORION                    ,
tabla3_48,48,DEL PAIS                 ,
tabla3_49,49,MI BANCO                 ,
tabla3_50,50,BNP PARIBAS,
tabla3_51,51,AGROBANCO,
tabla3_53,53,HSBC BANK PERU S.A.      ,
tabla3_54,54,BANCO FALABELLA S.A.,
tabla3_55,55,BANCO RIPLEY,
tabla3_56,56,BANCO SANTANDER PERU S.A.,
tabla3_58,58,BANCO AZTECA DEL PERU,
tabla3_99,99,OTROS,
