id,code,name,description
tabla5_01,01,MERCADERÍAS,
tabla5_02,02,PRODUCTOS TERMINADOS,
tabla5_03,03,MATERIAS PRIMAS,
tabla5_04,04,ENVASES,
tabla5_05,05,MATERIALES AUXILIARES,
tabla5_06,06,SUMINISTROS ,
tabla5_07,07,REPUESTOS,
tabla5_08,08,EMBALAJES,
tabla5_09,09,SUBPRODUCTOS ,
tabla5_10,10,DESECHOS Y DESPERDICIOS,
tabla5_91,91,OTROS 1,
tabla5_92,92,OTROS 2,
tabla5_93,93,OTROS 3,
tabla5_94,94,OTROS 4,
tabla5_95,95,OTROS 5,
tabla5_96,96,OTROS 6,
tabla5_97,97,OTROS 7,
tabla5_98,98,OTROS 8,
tabla5_99,99,OTROS,
