id,code,name,description
tabla1_001,001,DEPÓSITO EN CUENTA,DEPÓSITO EN CUENTA
tabla1_002,002,GIRO,GIRO
tabla1_003,003,TRANSFERENCIA DE FONDOS,TRANSFERENCIA DE FONDOS
tabla1_004,004,ORDEN DE PAGO,ORDEN DE PAGO
tabla1_005,005,TARJETA DE DÉBITO,TARJETA DE DÉBITO
tabla1_006,006,TARJETA DE CRÉDITO EMITIDA EN EL PAÍS POR UNA EMPRESA DEL SISTEMA FINANCIERO,TARJETA DE CRÉDITO EMITIDA EN EL PAÍS POR UNA EMPRESA DEL SISTEMA FINANCIERO
tabla1_007,007,"CHEQUES CON LA CLÁUSULA DE ""NO NEGOCIABLE"", ""INTRANSFERIBLES"", ""NO A LA ORDEN"" U OTRA EQUIVALENTE, A QUE SE REFIERE EL INCISO G) DEL ARTICULO 5° DE LA LEY","CHEQUES CON LA CLÁUSULA DE ""NO NEGOCIABLE"", ""INTRANSFERIBLES"", ""NO A LA ORDEN"" U OTRA EQUIVALENTE, A QUE SE REFIERE EL INCISO G) DEL ARTICULO 5° DE LA LEY"
tabla1_008,008,"EFECTIVO, POR OPERACIONES EN LAS QUE NO EXISTE OBLIGACIÓN DE UTILIZAR MEDIO DE PAGO","EFECTIVO, POR OPERACIONES EN LAS QUE NO EXISTE OBLIGACIÓN DE UTILIZAR MEDIO DE PAGO"
tabla1_009,009,"EFECTIVO, EN LOS DEMÁS CASOS","EFECTIVO, EN LOS DEMÁS CASOS"
tabla1_010,010,MEDIOS DE PAGO USADOS EN COMERCIO EXTERIOR,MEDIOS DE PAGO USADOS EN COMERCIO EXTERIOR
tabla1_011,011,DOCUMENTOS EMITIDOS POR LAS EDPYMES Y LAS COOPERATIVAS DE AHORRO Y CRÉDITO NO AUTORIZADAS A CAPTAR DEPÓSITOS DEL PÚBLICO,DOCUMENTOS EMITIDOS POR LAS EDPYMES Y LAS COOPERATIVAS DE AHORRO Y CRÉDITO NO AUTORIZADAS A CAPTAR DEPÓSITOS DEL PÚBLICO
tabla1_012,012,"TARJETA DE CRÉDITO EMITIDA EN EL PAÍS O EN EL EXTERIOR POR UNA EMPRESA NO PERTENECIENTE AL SISTEMA FINANCIERO, CUYO OBJETO PRINCIPAL SEA LA EMISIÓN Y ADMINISTRACIÓN DE TARJETAS DE CRÉDITO","TARJETA DE CRÉDITO EMITIDA EN EL PAÍS O EN EL EXTERIOR POR UNA EMPRESA NO PERTENECIENTE AL SISTEMA FINANCIERO, CUYO OBJETO PRINCIPAL SEA LA EMISIÓN Y ADMINISTRACIÓN DE TARJETAS DE CRÉDITO"
tabla1_013,013,TARJETAS DE CRÉDITO EMITIDAS EN EL EXTERIOR POR EMPRESAS BANCARIAS O FINANCIERAS NO DOMICILIADAS,TARJETAS DE CRÉDITO EMITIDAS EN EL EXTERIOR POR EMPRESAS BANCARIAS O FINANCIERAS NO DOMICILIADAS
tabla1_101,101,TRANSFERENCIAS - COMERCIO EXTERIOR,TRANSFERENCIAS - COMERCIO EXTERIOR
tabla1_102,102,CHEQUES BANCARIOS  - COMERCIO EXTERIOR,CHEQUES BANCARIOS  - COMERCIO EXTERIOR
tabla1_103,103,ORDEN DE PAGO SIMPLE  - COMERCIO EXTERIOR,ORDEN DE PAGO SIMPLE  - COMERCIO EXTERIOR
tabla1_104,104,ORDEN DE PAGO DOCUMENTARIO  - COMERCIO EXTERIOR,ORDEN DE PAGO DOCUMENTARIO  - COMERCIO EXTERIOR
tabla1_105,105,REMESA SIMPLE  - COMERCIO EXTERIOR,REMESA SIMPLE  - COMERCIO EXTERIOR
tabla1_106,106,REMESA DOCUMENTARIA  - COMERCIO EXTERIOR,REMESA DOCUMENTARIA  - COMERCIO EXTERIOR
tabla1_107,107,CARTA DE CRÉDITO SIMPLE  - COMERCIO EXTERIOR,CARTA DE CRÉDITO SIMPLE  - COMERCIO EXTERIOR
tabla1_108,108,CARTA DE CRÉDITO DOCUMENTARIO  - COMERCIO EXTERIOR,CARTA DE CRÉDITO DOCUMENTARIO  - COMERCIO EXTERIOR
tabla1_999,999,OTROS MEDIOS DE PAGO,OTROS MEDIOS DE PAGO
