id,code,name,description
catalog09_01,01,Anulación de la operación,
catalog09_02,02,Anulación por error en el RUC,
catalog09_03,03,Corrección por error en la descripción,
catalog09_04,04,Descuento global,
catalog09_05,05,Descuento por ítem,
catalog09_06,06,Devolución total,
catalog09_07,07,Devolución por ítem,
catalog09_08,08,Bonificación,
catalog09_09,09,Disminución en el valor,
catalog09_10,10,Otros Conceptos ,
catalog09_11,11,Ajustes de operaciones de exportación,
catalog09_12,12,Ajustes afectos al IVAP,
catalog09_13,13,Corrección del monto neto pendiente de pago y/o la(s) fechas(s) de vencimiento del pago,
