id,code,name,description
catalog24_L001,L001,AT,LUZ
catalog24_L002,L002,MT2,LUZ
catalog24_L003,L003,MT3,LUZ
catalog24_L004,L004,MT4,LUZ
catalog24_L005,L005,BT2,LUZ
catalog24_L006,L006,BT3,LUZ
catalog24_L007,L007,BT4,LUZ
catalog24_L008,L008,BT5A,LUZ
catalog24_L009,L009,BT5B NO RESIDENCIAL,LUZ
catalog24_L010,L010,BT6,LUZ
catalog24_L011,L011,BT5C-AP,LUZ
catalog24_L012,L012,BT5D,LUZ
catalog24_L013,L013,BT5E,LUZ
catalog24_L014,L014,BT7,LUZ
catalog24_L015,L015,BT8,LUZ
catalog24_A011,A011,COMERCIAL,AGUA
catalog24_A012,A012,INDUSTRIAL,AGUA
catalog24_A014,A014,DOMÉSTICO,AGUA
catalog24_A015,A015,SOCIAL,AGUA
catalog24_G001,G001,CAT – A1,GAS
catalog24_G002,G002,CAT – A2,GAS
catalog24_G003,G003,CAT – B,GAS
catalog24_G004,G004,CAT - C,GAS
catalog24_G005,G005,CAT – D,GAS
catalog24_G006,G006,CAT – E,GAS
catalog24_G007,G007,CAT – GE,GAS
catalog24_G008,G008,CAT – IP,GAS
catalog24_G009,G009,CAT – GNV,GAS
