id,code,name,description
catalog52_1000,1000,Monto en Letras,Monto en Letras
catalog52_1002,1002,TRANSFERENCIA GRATUITA DE UN BIEN Y/O SERVICIO PRESTADO GRATUITAMENTE,"Leyenda ""TRANSFERENCIA GRATUITA DE UN BIEN Y/O SERVICIO PRESTADO GRATUITAMENTE"""
catalog52_2000,2000,COMPROBANTE DE PERCEPCIÓN,Leyenda “COMPROBANTE DE PERCEPCIÓN”
catalog52_2001,2001,BIENES TRANSFERIDOS EN LA AMAZONÍA REGIÓN SELVA PARA SER CONSUMIDOS EN LA MISMA,"Leyenda “BIENES TRANSFERIDOS EN LA AMAZONÍA REGIÓN SELVA PARA SER CONSUMIDOS EN LA MISMA"""
catalog52_2002,2002,SERVICIOS PRESTADOS EN LA AMAZONÍA  REGIÓN SELVA PARA SER CONSUMIDOS EN LA MISMA,Leyenda “SERVICIOS PRESTADOS EN LA AMAZONÍA  REGIÓN SELVA PARA SER CONSUMIDOS EN LA MISMA”
catalog52_2003,2003,CONTRATOS DE CONSTRUCCIÓN EJECUTADOS  EN LA AMAZONÍA REGIÓN SELVA,Leyenda “CONTRATOS DE CONSTRUCCIÓN EJECUTADOS  EN LA AMAZONÍA REGIÓN SELVA”
catalog52_2004,2004,Agencia de Viaje - Paquete turístico,Leyenda “Agencia de Viaje - Paquete turístico” 
catalog52_2005,2005,Venta realizada por emisor itinerante,Leyenda “Venta realizada por emisor itinerante” 
catalog52_2006,2006,Operación sujeta a detracción,"Leyenda ""Operación sujeta a detracción"""
catalog52_2007,2007,Operación sujeta al IVAP,"Leyenda ""Operación sujeta al IVAP"""
catalog52_2008,2008,VENTA EXONERADA DEL IGV-ISC-IPM. PROHIBIDA LA VENTA FUERA DE LA ZONA COMERCIAL DE TACNA,Leyenda: “VENTA EXONERADA DEL IGV-ISC-IPM. PROHIBIDA LA VENTA FUERA DE LA ZONA COMERCIAL DE TACNA”
catalog52_2009,2009,PRIMERA VENTA DE MERCANCÍA IDENTIFICABLE ENTRE USUARIOS DE LA ZONA COMERCIAL,Leyenda: “PRIMERA VENTA DE MERCANCÍA IDENTIFICABLE ENTRE USUARIOS DE LA ZONA COMERCIAL”
catalog52_2010,2010,Restitucion Simplificado de Derechos Arancelarios,Restitucion Simplificado de Derechos Arancelarios
catalog52_2011,2011,EXPORTACION DE SERVICIOS - DECRETO LEGISLATIVO Nº 919,Leyenda “EXPORTACION DE SERVICIOS - DECRETO LEGISLATIVO Nº 919”
