id,code,name,description
catalog03_4A,4A,BOBINAS                                               ,
catalog03_BJ,BJ,BALDE                                                 ,
catalog03_BLL,BLL,BARRILES                                              ,
catalog03_BG,BG,BOLSA                                                 ,
catalog03_BO,BO,BOTELLAS                                              ,
catalog03_BX,BX,CAJA                                                  ,
catalog03_CT,CT,CARTONES                                              ,
catalog03_CMK,CMK,CENTIMETRO CUADRADO                                   ,
catalog03_CMQ,CMQ,CENTIMETRO CUBICO                                     ,
catalog03_CMT,CMT,CENTIMETRO LINEAL                                     ,
catalog03_CEN,CEN,CIENTO DE UNIDADES                                    ,
catalog03_CY,CY,CILINDRO                                              ,
catalog03_CJ,CJ,CONOS                                                 ,
catalog03_DZN,DZN,DOCENA                                                ,
catalog03_DZP,DZP,DOCENA POR 10**6                                      ,
catalog03_BE,BE,FARDO                                                 ,
catalog03_GLI,GLI,"GALON INGLES (4,545956L)",
catalog03_GRM,GRM,GRAMO                                                 ,
catalog03_GRO,GRO,GRUESA                                                ,
catalog03_HLT,HLT,HECTOLITRO                                            ,
catalog03_LEF,LEF,HOJA                                                  ,
catalog03_SET,SET,JUEGO                                                 ,
catalog03_KGM,KGM,KILOGRAMO                                             ,
catalog03_KTM,KTM,KILOMETRO                                             ,
catalog03_KWH,KWH,KILOVATIO HORA                                        ,
catalog03_KT,KT,KIT                                                   ,
catalog03_CA,CA,LATAS                                                 ,
catalog03_LBR,LBR,LIBRAS                                                ,
catalog03_LTR,LTR,LITRO                                                 ,
catalog03_MWH,MWH,MEGAWATT HORA                                         ,
catalog03_MTR,MTR,METRO                                                 ,
catalog03_MTK,MTK,METRO CUADRADO                                        ,
catalog03_MTQ,MTQ,METRO CUBICO                                          ,
catalog03_MGM,MGM,MILIGRAMOS                                            ,
catalog03_MLT,MLT,MILILITRO                                             ,
catalog03_MMT,MMT,MILIMETRO                                             ,
catalog03_MMK,MMK,MILIMETRO CUADRADO                                    ,
catalog03_MMQ,MMQ,MILIMETRO CUBICO                                      ,
catalog03_MLL,MIL,MILLARES                                              ,
catalog03_UM,UM,MILLON DE UNIDADES                                    ,
catalog03_ONZ,ONZ,ONZAS                                                 ,
catalog03_PF,PF,PALETAS                                               ,
catalog03_PK,PK,PAQUETE                                               ,
catalog03_PR,PR,PAR                                                   ,
catalog03_FOT,FOT,PIES                                                  ,
catalog03_FTK,FTK,PIES CUADRADOS                                        ,
catalog03_FTQ,FTQ,PIES CUBICOS                                          ,
catalog03_C62,C62,PIEZAS                                                ,
catalog03_PG,PG,PLACAS                                                ,
catalog03_ST,ST,PLIEGO                                                ,
catalog03_INH,INH,PULGADAS                                              ,
catalog03_RM,RM,RESMA                                                 ,
catalog03_DR,DR,TAMBOR                                                ,
catalog03_STN,STN,TONELADA CORTA                                        ,
catalog03_LTN,LTN,TONELADA LARGA                                        ,
catalog03_TNE,TNE,TONELADAS                                             ,
catalog03_TU,TU,TUBOS                                                 ,
catalog03_NIU,NIU,UNIDAD (BIENES)                                      ,
catalog03_ZZ,ZZ,UNIDAD (SERVICIOS) ,
catalog03_GLL,GLL,"US GALON (3,7843 L)",
catalog03_YRD,YRD,YARDA                                                 ,
catalog03_YDK,YDK,YARDA CUADRADA                                        ,
