id,code,name,description
tabla34_1D0109,1D0109,Efectivo y Equivalentes al Efectivo,
tabla34_1D0114,1D0114,Otros Activos Financieros,
tabla34_1D0121,1D0121,Cuentas por cobrar comerciales y otras cuentas por cobrar,
tabla34_1D0103,1D0103,Cuentas por Cobrar Comerciales (neto),
tabla34_1D0105,1D0105,Otras Cuentas por Cobrar (neto),
tabla34_1D0104,1D0104,Cuentas por Cobrar a Entidades Relacionadas,
tabla34_1D0107,1D0107,Anticipos,
tabla34_1D0106,1D0106,Inventarios,
tabla34_1D0112,1D0112,Activos Biológicos,
tabla34_1D0117,1D0117,Activos por Impuestos a las Ganancias ,
tabla34_1D0113,1D0113,Otros Activos no financieros,
tabla34_1D0118,1D0118,Total Activos Corrientes Distintos de los Activos o Grupos de Activos para su Disposición Clasificados como Mantenidos para la Venta o para Distribuir a los Propietarios,
tabla34_1D0119,1D0119,Activos no Corrientes o Grupos de Activos para su Disposición Clasificados como Mantenidos para la Venta,
tabla34_1D0120,1D0120,Activos no Corrientes o Grupos de Activos para su Disposición Clasificados como Mantenidos para Distribuir a los Propietarios,
tabla34_1D0115,1D0115,Activos no Corrientes o Grupos de Activos para su Disposición Clasificados como Mantenidos para la Venta o como Mantenidos para Distribuir a los Propietarios,
tabla34_1D01ST,1D01ST,Total Activos Corrientes,
tabla34_1D0217,1D0217,Otros Activos Financieros,
tabla34_1D0221,1D0221,"Inversiones en subsidiarias, negocios conjuntos y asociadas",
tabla34_1D0219,1D0219,Cuentas por cobrar comerciales y otras cuentas por cobrar,
tabla34_1D0201,1D0201,Cuentas por Cobrar Comerciales,
tabla34_1D0203,1D0203,Otras Cuentas por Cobrar,
tabla34_1D0202,1D0202,Cuentas por Cobrar a Entidades Relacionadas,
tabla34_1D0220,1D0220,Anticipos,
tabla34_1D0216,1D0216,Activos Biológicos,
tabla34_1D0211,1D0211,Propiedades de Inversión,
tabla34_1D0205,1D0205,"Propiedades, Planta y Equipo (neto)",
