id,code,name,description
tabla11_019,019,TUMBES,
tabla11_028,028,TALARA,
tabla11_046,046,PAITA,
tabla11_055,055,CHICLAYO,
tabla11_082,082,SALAVERRY,
tabla11_091,091,CHIMBOTE,
tabla11_118,118,MARÍTIMA DEL CALLAO,
tabla11_127,127,PISCO,
tabla11_145,145,MOLLENDO MATARANI,
tabla11_154,154,AREQUIPA,
tabla11_163,163,ILO,
tabla11_172,172,TACNA,
tabla11_181,181,PUNO,
tabla11_190,190,CUZCO,
tabla11_217,217,PUCALLPA,
tabla11_226,226,IQUITOS,
tabla11_235,235,AÉREA DEL CALLAO,
tabla11_244,244,POSTAL DE LIMA,
tabla11_262,262,DESAGUADERO,
tabla11_271,271,TARAPOTO,
tabla11_280,280,PUERTO MALDONADO,
tabla11_299,299,LA TINA,
tabla11_884,884,DEPENDENCIA FERROVIARIA TACNA,
tabla11_893,893,DEPENDENCIA POSTAL TACNA,
tabla11_910,910,DEPENDENCIA POSTAL AREQUIPA,
tabla11_929,929,COMPLEJO FRONTERIZO STA ROSA TACNA,
tabla11_938,938,TERMINAL TERRESTRE TACNA,
tabla11_947,947,AEROPUERTO TACNA,
tabla11_956,956,CETICOS TACNA,
tabla11_965,965,DEPENDENCIA POSTAL DE SALAVERRY,
