id,code,name,description
tabla6_4A,4A,BOBINAS                                               ,
tabla6_BJ,BJ,BALDE                                                 ,
tabla6_BLL,BLL,BARRILES                                              ,
tabla6_BG,BG,BOLSA                                                 ,
tabla6_BO,BO,BOTELLAS                                              ,
tabla6_BX,BX,CAJA                                                  ,
tabla6_CT,CT,CARTONES                                              ,
tabla6_CMK,CMK,CENTIMETRO CUADRADO                                   ,
tabla6_CMQ,CMQ,CENTIMETRO CUBICO                                     ,
tabla6_CMT,CMT,CENTIMETRO LINEAL                                     ,
tabla6_CEN,CEN,CIENTO DE UNIDADES                                    ,
tabla6_CY,CY,CILINDRO                                              ,
tabla6_CJ,CJ,CONOS                                                 ,
tabla6_DZN,DZN,DOCENA                                                ,
tabla6_DZP,DZP,DOCENA POR 10**6                                      ,
tabla6_BE,BE,FARDO                                                 ,
tabla6_GLI,GLI,"GALON INGLES (4,545956L)",
tabla6_GRM,GRM,GRAMO                                                 ,
tabla6_GRO,GRO,GRUESA                                                ,
tabla6_HLT,HLT,HECTOLITRO                                            ,
tabla6_LEF,LEF,HOJA                                                  ,
tabla6_SET,SET,JUEGO                                                 ,
tabla6_KGM,KGM,KILOGRAMO                                             ,
tabla6_KTM,KTM,KILOMETRO                                             ,
tabla6_KWH,KWH,KILOVATIO HORA                                        ,
tabla6_KT,KT,KIT                                                   ,
tabla6_CA,CA,LATAS                                                 ,
tabla6_LBR,LBR,LIBRAS                                                ,
tabla6_LTR,LTR,LITRO                                                 ,
tabla6_MWH,MWH,MEGAWATT HORA                                         ,
tabla6_MTR,MTR,METRO                                                 ,
tabla6_MTK,MTK,METRO CUADRADO                                        ,
tabla6_MTQ,MTQ,METRO CUBICO                                          ,
tabla6_MGM,MGM,MILIGRAMOS                                            ,
tabla6_MLT,MLT,MILILITRO                                             ,
tabla6_MMT,MMT,MILIMETRO                                             ,
tabla6_MMK,MMK,MILIMETRO CUADRADO                                    ,
tabla6_MMQ,MMQ,MILIMETRO CUBICO                                      ,
tabla6_MLL,MLL,MILLARES                                              ,
tabla6_UM,UM,MILLON DE UNIDADES                                    ,
tabla6_ONZ,ONZ,ONZAS                                                 ,
tabla6_PF,PF,PALETAS                                               ,
tabla6_PK,PK,PAQUETE                                               ,
tabla6_PR,PR,PAR                                                   ,
tabla6_FOT,FOT,PIES                                                  ,
tabla6_FTK,FTK,PIES CUADRADOS                                        ,
tabla6_FTQ,FTQ,PIES CUBICOS                                          ,
tabla6_C62,C62,PIEZAS                                                ,
tabla6_PG,PG,PLACAS                                                ,
tabla6_ST,ST,PLIEGO                                                ,
tabla6_INH,INH,PULGADAS                                              ,
tabla6_RM,RM,RESMA                                                 ,
tabla6_DR,DR,TAMBOR                                                ,
tabla6_STN,STN,TONELADA CORTA                                        ,
tabla6_LTN,LTN,TONELADA LARGA                                        ,
tabla6_TNE,TNE,TONELADAS                                             ,
tabla6_TU,TU,TUBOS                                                 ,
tabla6_NIU,NIU,UNIDAD (BIENES)                                      ,
tabla6_ZZ,ZZ,UNIDAD (SERVICIOS) ,
tabla6_GLL,GLL,"US GALON (3,7843 L)",
tabla6_YRD,YRD,YARDA                                                 ,
tabla6_YDK,YDK,YARDA CUADRADA                                        ,
